都道府県,市町村名,役所名,lon,lat
山梨県,南アルプス市,南アルプス市役所,138.465005,35.608361
山梨県,北杜市,北杜市役所,138.423537,35.776501
山梨県,甲斐市,甲斐市役所,138.515796,35.660829
山梨県,笛吹市,笛吹市役所,138.63973,35.647296
山梨県,都留市,都留市役所,138.90547,35.551565
山梨県,山梨市,山梨市役所,138.686955,35.69342902
山梨県,大月市,大月市役所,138.940041,35.610474
山梨県,韮崎市,韮崎市役所,138.446192,35.708804
福井県,おおい町,おおい町役場,135.617885,35.481128
福井県,若狭町,若狭町役場三方庁舎,135.908384,35.548882
山梨県,甲府市,甲府市役所,138.5683386,35.66203333
山梨県,富士吉田市,富士吉田市役所,138.807857,35.487499
静岡県,富士市,富士市役所,138.676311,35.161386
静岡県,磐田市,磐田市役所,137.851511,34.717881
静岡県,焼津市,焼津市役所,138.32326,34.866906
静岡県,掛川市,掛川市役所,137.998403,34.768717
静岡県,三島市,三島市役所,138.918501,35.118483
静岡県,富士宮市,富士宮市役所,138.621656,35.221983
静岡県,伊東市,伊東市役所,139.102048,34.96568
静岡県,島田市,島田市役所,138.176055,34.836417
静岡県,静岡市,静岡市役所,138.382388,34.975473
静岡県,浜松市,浜松市役所,137.726117,34.710865
静岡県,沼津市,沼津市役所,138.863337,35.095723
静岡県,熱海市,熱海市役所,139.071546,35.095987
岐阜県,白川町,白川町役場,137.187821,35.581862
岐阜県,東白川村,東白川村役場,137.323745,35.64256
岐阜県,御嵩町,御嵩町役場,137.130885,35.434493
岐阜県,白川村,白川村役場,136.898542,36.270904
静岡県,河津町,河津町役場,138.987622,34.757018
静岡県,南伊豆町,南伊豆町役場,138.858533,34.651089
静岡県,松崎町,松崎町役場,138.778757,34.752763
静岡県,西伊豆町,西伊豆町役場,138.775334,34.771693
静岡県,菊川市,菊川市役所,138.084539,34.757721
静岡県,伊豆の国市,伊豆の国市役所,138.928885,35.027713
静岡県,牧之原市,牧之原市役所,138.224641,34.740059
静岡県,東伊豆町,東伊豆町役場,139.041265,34.772816
静岡県,裾野市,裾野市役所,138.906724,35.173891
静岡県,湖西市,湖西市役所,137.531617,34.718474
静岡県,伊豆市,伊豆市役所,138.946715,34.976591
静岡県,御前崎市,御前崎市役所,138.128117,34.637977
静岡県,藤枝市,藤枝市役所,138.257548,34.867349
静岡県,御殿場市,御殿場市役所,138.934506,35.308615
静岡県,袋井市,袋井市役所,137.924624,34.75016
静岡県,下田市,下田市役所,138.945316,34.679536
愛知県,半田市,半田市役所,136.93785,34.892626
愛知県,春日井市,春日井市役所,136.972232,35.247664
愛知県,豊川市,豊川市役所,137.375578,34.826784
愛知県,津島市,津島市役所,136.741236,35.17704
愛知県,豊橋市,豊橋市役所,137.391469,34.769199
愛知県,岡崎市,岡崎市役所,137.172999,34.954809
愛知県,一宮市,一宮市役所,136.802344,35.304013
愛知県,瀬戸市,瀬戸市役所,137.084117,35.22362
静岡県,吉田町,吉田町役場,138.251943,34.77087
静岡県,川根本町,川根本町役場,138.081695,35.046822
静岡県,森町,森町役場,137.927088,34.835601
愛知県,名古屋市,名古屋市役所,136.906421,35.181433
静岡県,函南町,函南町役場,138.953348,35.088937
静岡県,清水町,清水町役場,138.90272,35.099015
静岡県,長泉町,長泉町役場,138.897258,35.137712
静岡県,小山町,小山町役場,138.987296,35.36011
愛知県,東海市,東海市役所,136.902229,35.022976
愛知県,大府市,大府市役所,136.963868,35.011611
愛知県,知多市,知多市役所,136.864755,34.996533
愛知県,知立市,知立市役所,137.050843,35.001285
愛知県,江南市,江南市役所,136.870453,35.331953
愛知県,小牧市,小牧市役所,136.911971,35.291141
愛知県,稲沢市,稲沢市役所,136.780216,35.248135
愛知県,新城市,新城市役所,137.498504,34.899226
愛知県,西尾市,西尾市役所,137.061741,34.862009
愛知県,蒲郡市,蒲郡市役所,137.219653,34.826439
愛知県,犬山市,犬山市役所,136.944625,35.378641
愛知県,常滑市,常滑市役所,136.832375,34.886678
愛知県,碧南市,碧南市役所,136.993362,34.884782
愛知県,刈谷市,刈谷市役所,137.00206,34.988864
愛知県,豊田市,豊田市役所,137.156224,35.082345
愛知県,安城市,安城市役所,137.080297,34.958644
長野県,池田町,池田町役場,137.874499,36.421368
長野県,松川村,松川村役場,137.854556,36.424045
長野県,白馬村,白馬村役場,137.861969,36.69807
長野県,小谷村,小谷村役場,137.908305,36.779206
長野県,生坂村,生坂村役場,137.927484,36.425234
長野県,山形村,山形村役場,137.87897,36.168104
長野県,朝日村,朝日村役場,137.866114,36.123531
長野県,筑北村,筑北村役場,138.015179,36.426355
長野県,王滝村,王滝村役場,137.551076,35.809343
長野県,大桑村,大桑村役場,137.664938,35.682834
長野県,木曽町,木曽町役場,137.691534,35.842455
長野県,麻績村,麻績村役場,138.045267,36.456086
長野県,大鹿村,大鹿村役場,138.034044,35.578234
長野県,上松町,上松町役場,137.694153,35.78402
長野県,南木曽町,南木曽町役場,137.608936,35.603787
長野県,木祖村,木祖村役場,137.783163,35.936307
岐阜県,高山市,高山市役所,137.252206,36.146093
岐阜県,多治見市,多治見市役所,137.132078,35.332773
岐阜県,関市,関市役所,136.917895,35.495777
岐阜県,中津川市,中津川市役所,137.500616,35.487493
長野県,飯綱町,飯綱町役場,138.23553,36.754661
長野県,栄村,栄村役場,138.577359,36.987481
岐阜県,岐阜市,岐阜市役所,136.760657,35.423301
岐阜県,大垣市,大垣市役所,136.612753,35.359365
長野県,木島平村,木島平村役場,138.406696,36.858462
長野県,野沢温泉村,野沢温泉村役場,138.440456,36.922728
長野県,信濃町,信濃町役場,138.206991,36.806379
長野県,小川村,小川村役場,137.974801,36.617135
長野県,坂城町,坂城町役場,138.180106,36.461839
長野県,小布施町,小布施町役場,138.312146,36.697478
長野県,高山村,高山村役場,138.363261,36.67977
長野県,山ノ内町,山ノ内町役場,138.412621,36.744606
